Rk,Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,,%Game,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Salary
517,Russell Westbrook,PG,32,WAS,65,2369,19.5,0.221,0.334,0.5,3.2,3.7,0.075,2.5,0.8,3.4,3.2,,1,0.509,4.9,28.6,16.8,48.6,1.7,0.8,18,30.2,449115
518,Coby White,PG,20,CHI,69,2156,12,0.503,0.157,0.7,1.7,2.4,0.052,-1.1,-1.4,-2.6,-0.3,,1,0.54,1.5,13,7.3,21.8,0.9,0.6,13.9,22.5,449115
519,Derrick White,SG,26,SAS,36,1064,15,0.536,0.252,1,0.9,1.9,0.085,1.1,0,1.1,0.8,,1,0.55,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,449115
520,Hassan Whiteside,C,31,SAC,36,546,19.2,0.004,0.353,0.3,0.6,0.9,0.081,-1.8,-0.6,-2.5,-0.1,,1,0.566,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,449115
521,Greg Whittington,PF,27,DEN,4,12,-10.2,0.667,0,-0.1,0,-0.1,-0.259,-11.4,-6.1,-17.5,0,,1,0,0,0,0,0,0,0,0,10.9,449115
522,Andrew Wiggins,PF,25,GSW,71,2364,15,0.348,0.225,1.2,2.7,3.9,0.08,-0.1,-0.6,-0.7,0.8,,1,0.568,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,449115
523,Grant Williams,PF,22,BOS,63,1138,7.5,0.522,0.206,0.1,1,1.1,0.046,-4,0,-4,-0.6,,1,0.546,4.7,12.8,8.7,7.4,1.4,2,17.2,12.3,449115
524,Kenrich Williams,PF,26,OKC,66,1426,14,0.285,0.153,1.6,1.2,2.8,0.096,-1.1,0.7,-0.3,0.6,,1,0.599,6.1,14,10,16.4,1.8,1.1,14.8,15.3,449115
525,Lou Williams,PG,34,TOT,66,1423,14,0.268,0.268,0.5,1.2,1.7,0.056,-1.1,-1.8,-2.9,-0.3,,0.5,0.519,1.7,8.9,5.4,23.4,1.6,0.4,13,25.7,427725
525,Lou Williams,PG,34,LAC,42,918,15.7,0.277,0.277,0.7,0.9,1.6,0.084,-0.5,-1.4,-1.9,0,,0.3,0.529,1.9,8.7,5.4,23.3,2.1,0.4,12,26.5,424544
525,Lou Williams,PG,34,ATL,24,505,10.8,0.25,0.25,-0.2,0.2,0,0.004,-2.2,-2.7,-4.9,-0.4,,0.2,0.498,1.3,9.3,5.4,23.7,0.8,0.3,14.9,24.3,412202
526,Patrick Williams,PF,19,CHI,71,1983,10.5,0.261,0.237,0.3,2.2,2.5,0.06,-2.7,0,-2.7,-0.3,,1,0.562,3.7,14.4,9.1,6.7,1.6,2,14.4,14.9,411639
527,Robert Williams,C,23,BOS,52,985,25.7,0.008,0.283,3.4,1.9,5.3,0.258,3,3.1,6.1,2,,1,0.719,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15,376276
528,Zion Williamson,PF,20,NOP,61,2026,27.1,0.033,0.51,7.1,1.6,8.7,0.205,5.8,-0.4,5.4,3.8,,1,0.649,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,375321
529,D.J. Wilson,PF,24,TOT,35,433,11.5,0.518,0.149,-0.2,0.5,0.3,0.032,-2.8,-0.7,-3.5,-0.2,,0.5,0.511,4.8,23.2,13.7,7.9,1.2,3.3,10.9,19.7,374297
529,D.J. Wilson,PF,24,MIL,12,105,8.4,0.651,0.047,-0.1,0.1,0,0.022,-3.3,-2.1,-5.4,-0.1,,0.2,0.49,3.1,21.3,12.5,3.7,0.4,3.4,8.4,19.1,363015
529,D.J. Wilson,PF,24,HOU,23,328,12.5,0.472,0.184,-0.1,0.3,0.2,0.036,-2.6,-0.2,-2.8,-0.1,,0.3,0.518,5.3,23.8,14.1,9.3,1.4,3.3,11.8,19.9,350087
530,Dylan Windler,SF,24,CLE,31,513,10.8,0.592,0.208,0,0.5,0.5,0.045,-1.8,0.1,-1.7,0,,1,0.567,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,344557
531,Justise Winslow,SF,24,MEM,26,507,6.2,0.257,0.167,-1.3,0.6,-0.7,-0.066,-6.2,0.1,-6.1,-0.5,,1,0.395,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,341481
